strategy,input,run_number,output,prompt_tokens,completion_tokens,latency,format_compliant
zero_shot,I absolutely love this product,1,Positive,86,54,0.3270578384399414,True
zero_shot,I absolutely love this product,2,Positive,86,55,0.21860003471374512,True
zero_shot,I absolutely love this product,3,Positive,86,41,0.49468207359313965,True
zero_shot,This is the worst experience ever,1,Negative,87,45,0.20620393753051758,True
zero_shot,This is the worst experience ever,2,Negative,87,48,0.22452211380004883,True
zero_shot,This is the worst experience ever,3,Negative,87,50,0.3633890151977539,True
zero_shot,It works fine but nothing special,1,Negative,87,176,0.48390913009643555,True
zero_shot,It works fine but nothing special,2,Positive,87,116,0.37816810607910156,True
zero_shot,It works fine but nothing special,3,Negative,87,120,0.4003772735595703,True
zero_shot,Amazing quality and great service,1,Positive,86,41,0.1945180892944336,True
zero_shot,Amazing quality and great service,2,Positive,86,48,0.22412109375,True
zero_shot,Amazing quality and great service,3,Positive,86,33,0.3915519714355469,True
zero_shot,I regret buying this,1,Negative,85,56,0.3054671287536621,True
zero_shot,I regret buying this,2,Negative,85,44,0.19824790954589844,True
zero_shot,I regret buying this,3,Negative,85,57,0.31424903869628906,True
zero_shot,"Not bad, could be better",1,Positive,87,138,0.5134849548339844,True
zero_shot,"Not bad, could be better",2,Positive,87,108,0.5091731548309326,True
zero_shot,"Not bad, could be better",3,Negative,87,88,0.5148890018463135,True
zero_shot,Completely useless and disappointing,1,"{
  ""sentiment"": ""Negative"",
  ""explanation"": ""The text uses strong negative language ('useless', 'disappointing') indicating an unfavorable opinion.""
}",85,78,0.40717601776123047,False
zero_shot,Completely useless and disappointing,2,Negative,85,34,0.17460012435913086,True
zero_shot,Completely useless and disappointing,3,Negative,85,47,0.2028977870941162,True
zero_shot,Highly recommend this to everyone,1,Positive,86,59,0.4424257278442383,True
zero_shot,Highly recommend this to everyone,2,Positive,86,81,0.30731987953186035,True
zero_shot,Highly recommend this to everyone,3,Positive,86,46,0.40952491760253906,True
zero_shot,Terrible customer support,1,Negative,85,51,0.20968031883239746,True
zero_shot,Terrible customer support,2,Negative,85,46,0.27719616889953613,True
zero_shot,Terrible customer support,3,Negative,85,60,0.3328678607940674,True
zero_shot,Pretty decent overall,1,Positive,84,47,0.20817804336547852,True
zero_shot,Pretty decent overall,2,Positive,84,34,0.4050617218017578,True
zero_shot,Pretty decent overall,3,Positive,84,54,0.41060709953308105,True
zero_shot,I am very happy with this purchase,1,Positive,88,49,2.5589139461517334,True
zero_shot,I am very happy with this purchase,2,Positive,88,46,2.260406970977783,True
zero_shot,I am very happy with this purchase,3,Positive,88,54,2.2775328159332275,True
zero_shot,This broke after one day,1,Negative,86,46,2.2648611068725586,True
zero_shot,This broke after one day,2,Negative,86,40,2.241205930709839,True
zero_shot,This broke after one day,3,Negative,86,37,2.2384161949157715,True
zero_shot,It exceeded my expectations,1,Positive,85,40,2.542325019836426,True
zero_shot,It exceeded my expectations,2,Positive,85,39,2.3532679080963135,True
zero_shot,It exceeded my expectations,3,Positive,85,41,2.2686007022857666,True
zero_shot,Waste of money,1,Negative,84,42,2.2577199935913086,True
zero_shot,Waste of money,2,Negative,84,61,2.3362419605255127,True
zero_shot,Waste of money,3,Negative,84,46,2.3816068172454834,True
zero_shot,It does what it promises,1,Positive,86,59,2.3874449729919434,True
zero_shot,It does what it promises,2,Positive,86,56,2.422929048538208,True
zero_shot,It does what it promises,3,**Positive**,86,69,2.5362632274627686,False
zero_shot,Very frustrating to use,1,Negative,85,54,2.5357232093811035,True
